Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
0,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",4 June 2010,18:45,F9 v1.0B0003.1,"Success
"
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
2,CCAFS,Dragon,0,LEO,NASA,Success,8 December 2010,15:43,F9 v1.0B0004.1,Success
3,CCAFS,Dragon,525 kg,LEO,NASA,"Success
",22 May 2012,07:44,F9 v1.0B0005.1,"Success
"
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",8 October 2012,00:35,F9 v1.0B0006.1,"Success
"
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,Success,1 March 2013,15:10,F9 v1.0B0007.1,Success
6,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,29 September 2013,16:00,F9 v1.1B1003,Success
7,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,Success,3 December 2013,22:41,,Success
8,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,"Success
",6 January 2014,22:06,,"Success
"
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,18 April 2014,19:25,,Success
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,14 July 2014,15:15,,Success
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,5 August 2014,08:00,,Success
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,7 September 2014,05:00,F9 v1.1,Success
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,21 September 2014,05:52,F9 v1.1,Success
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,"Success
",10 January 2015,09:47,F9 v1.1,"Success
"
15,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",11 February 2015,23:03,F9 v1.1,"Success
"
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",2 March 2015,03:50,F9 v1.1,"Success
"
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",14 April 2015,20:10,F9 v1.1,"Success
"
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Failure,27 April 2015,23:03,F9 v1.1,Failure
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",28 June 2015,14:21,F9 v1.1,"Success
"
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",22 December 2015,01:29,F9 FT,"Success
"
21,VAFB,Jason-3,553 kg,LEO,SES,"Success
",17 January 2016,18:42,F9 v1.1,"Success
"
22,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,Success,4 March 2016,23:35,F9 FT,Success
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",8 April 2016,20:43,F9 FT,"Success
"
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",6 May 2016,05:21,F9 FT,"Success
"
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,"Success
",27 May 2016,21:39,F9 FT,"Success
"
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",15 June 2016,14:29,F9 FT,"Success
"
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",18 July 2016,04:45,F9 FT,"Success
"
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",14 August 2016,05:26,F9 FT,"Success
"
29,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",14 January 2017,17:54,F9 FT,"Success
"
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",19 February 2017,14:39,F9 FT,"Success
"
31,KSC,EchoStar 23,"5,600 kg",GTO,SES,Success,16 March 2017,06:00,F9 FT,Success
32,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",30 March 2017,22:27,F9 FT♺,"Success
"
33,KSC,NROL-76,C,LEO,Inmarsat,"Success
",1 May 2017,11:15,F9 FT,"Success
"
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",15 May 2017,23:21,F9 FT,"Success
"
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",3 June 2017,21:07,F9 FT,"Success
"
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",23 June 2017,19:10,F9 FTB1029.2,"Success
"
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",25 June 2017,20:25,F9 FT,"Success
"
38,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",5 July 2017,23:38,F9 FT,"Success
"
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",14 August 2017,16:31,F9 B4,"Success
"
40,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",24 August 2017,18:51,F9 FT,"Success
"
41,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",7 September 2017,14:00,F9 B4,"Success
"
42,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",9 October 2017,12:37,F9 B4,"Success
"
43,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",11 October 2017,22:53:00,F9 FTB1031.2,"Success
"
44,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",30 October 2017,19:34,F9 B4,"Success
"
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,15 December 2017,15:36,F9 FTB1035.2,Success
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,23 December 2017,01:27,F9 FTB1036.2,Success
47,CCAFS,Zuma,C,LEO,SES,Success,8 January 2018,01:00,F9 B4,Success
48,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,31 January 2018,21:25,F9 FTB1032.2,Success
49,VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,22 February 2018,14:17,F9 FTB1038.2,Success
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,6 March 2018,05:33,F9 B4,Success
51,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,30 March 2018,14:14,F9 B4B1041.2,Success
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,2 April 2018,20:30,F9 B4B1039.2,Success
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,18 April 2018,22:51,F9 B4,Success
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,11 May 2018,20:14,F9 B5B1046.1,Success
55,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,22 May 2018,19:47,F9 B4B1043.2,Success
56,CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,4 June 2018,04:45,F9 B4B1040.2,Success
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,29 June 2018,09:42,F9 B4B1045.2,Success
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,22 July 2018,05:50,F9 B5,Success
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,25 July 2018,11:39,F9 B5B1048,Success
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,7 August 2018,05:18,F9 B5B1046.2,Success
61,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,10 September 2018,04:45,F9 B5,Success
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,8 October 2018,02:22,F9 B5B1048.2,Success
63,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,15 November 2018,20:46,F9 B5B1047.2,Success
64,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",3 December 2018,18:34:05,F9 B5B1046.3,"Success
"
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,Success,5 December 2018,18:16,F9 B5,Success
66,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",23 December 2018,13:51,F9 B5,"Success
"
67,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",11 January 2019,15:31,F9 B5B1049.2,"Success
"
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",22 February 2019,01:45,F9 B5B1048.3,"Success
"
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",2 March 2019,07:49,F9 B5[268],"Success
"
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",4 May 2019,06:48,F9 B5,"Success
"
71,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",24 May 2019,02:30,F9 B5B1049.3,"Success
"
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",12 June 2019,14:17,F9 B5B1051.2,"Success
"
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",25 July 2019,22:01,F9 B5B1056.2,"Success
"
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",6 August 2019,23:23,F9 B5B1047.3,"Success
"
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",11 November 2019,14:56,F9 B5,"Success
"
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",5 December 2019,17:29,F9 B5,"Success
"
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",17 December 2019,00:10,F9 B5B1056.3,"Success
"
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",7 January 2020,02:19:21,F9 B5,"Success
"
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",19 January 2020,15:30,F9 B5,"Success
"
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",29 January 2020,14:07,F9 B5,"Success
"
81,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",17 February 2020,15:05,F9 B5,"Success
"
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",7 March 2020,04:50,F9 B5,"Success
"
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",18 March 2020,12:16,F9 B5,"Success
"
84,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",22 April 2020,19:30,F9 B5,"Success
"
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",30 May 2020,19:22,F9 B5,"Success
"
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",4 June 2020,01:25,F9 B5,"Success
"
87,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,"Success
",13 June 2020,09:21,F9 B5,"Success
"
88,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",30 June 2020,20:10:46,F9 B5,"Success
"
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",20 July 2020,21:30,F9 B5B1058.2,"Success
"
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",7 August 2020,05:12,F9 B5,"Success
"
91,CCAFS,Starlink,"~15,440 kg",LEO,CONAE,"Success
",18 August 2020,14:31,F9 B5B1049.6,"Success
"
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",30 August 2020,23:18,F9 B5,"Success
"
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",3 September 2020,12:46:14,F9 B5B1060.2,"Success
"
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",6 October 2020,11:29:34,F9 B5B1058.3,"Success
"
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",18 October 2020,12:25:57,F9 B5B1051.6,"Success
"
96,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",24 October 2020,15:31:34,F9 B5,"Success
"
97,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",5 November 2020,23:24:23,F9 B5,"Success
"
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",16 November 2020,00:27,F9 B5,"Success
"
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",21 November 2020,17:17:08,F9 B5,"Success
"
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",25 November 2020,02:13,F9 B5 ♺,"Success
"
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",6 December 2020,16:17:08,F9 B5 ♺,"Success
"
102,CCSFSSLC-40,SXM-7,"7,000 kg",GTO,NRO,"Success
",13 December 2020,17:30:00,F9 B5 ♺,"Success
"
103,KSC,NROL-108,C,LEO,Türksat,"Success
",19 December 2020,14:00:00,F9 B5 ♺,"Success
"
104,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",8 January 2021,02:15,F9 B5,"Success
"
105,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",20 January 2021,13:02,F9 B5B1051.8,"Success
"
106,CCSFS,Transporter-1,"~5,000 kg",SSO,"<td><style data-mw-deduplicate=""TemplateStyles:r1126788409"">.mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}</style><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)</li>
<li><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a></li></ul>
</div>
</td>",Success,24 January 2021,15:00,F9 B5B1058.5,Success
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)
</td>",Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
2,CCAFS,Dragon,0,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",8 December 2010,15:43,F9 v1.0B0004.1,"Success
"
3,CCAFS,Dragon,525 kg,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",22 May 2012,07:44,F9 v1.0B0005.1,"Success
"
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<td><a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>
</td>",Success,8 October 2012,00:35,F9 v1.0B0006.1,Success
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,1 March 2013,15:10,F9 v1.0B0007.1,Success
6,VAFB,CASSIOPE,500 kg,Polar orbit,"<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>",Success,29 September 2013,16:00,F9 v1.1B1003,Success
7,CCAFS,SES-8,"3,170 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",3 December 2013,22:41,,"Success
"
8,CCAFS,Thaicom 6,"3,325 kg",GTO,"<td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>",Success,6 January 2014,22:06,,Success
