Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>",Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
1,CCAFS,Dragon,0,LEO,"<td><style data-mw-deduplicate=""TemplateStyles:r1126788409"">.mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}</style><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)</li>
<li><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a></li></ul>
</div>
</td>",Success,8 December 2010,15:43,F9 v1.0B0004.1,Success
1,CCAFS,Dragon,525 kg,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)
</td>",Success,22 May 2012,07:44,F9 v1.0B0005.1,Success
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,8 October 2012,00:35,F9 v1.0B0006.1,Success
2,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,1 March 2013,15:10,F9 v1.0B0007.1,Success
3,VAFB,CASSIOPE,500 kg,Polar orbit,"<td><a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>
</td>",Success,29 September 2013,16:00,F9 v1.1B1003,Success
4,CCAFS,SES-8,"3,170 kg",GTO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,3 December 2013,22:41,,Success
5,CCAFS,Thaicom 6,"3,325 kg",GTO,"<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>",Success,6 January 2014,22:06,,Success
6,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,18 April 2014,19:25,,Success
7,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>",Success,14 July 2014,15:15,,Success
8,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,5 August 2014,08:00,,Success
9,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,7 September 2014,05:00,F9 v1.1,Success
10,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,21 September 2014,05:52,F9 v1.1,Success
11,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,10 January 2015,09:47,F9 v1.1,Success
